date,temp_max_C,temp_min_C,temp_mean_C,precipitation_mm,solar_radiation_MJ_m2,windspeed_10m_max_kmh,windgusts_10m_max_kmh,cloudcover_percent
2006-12-16,8.5,4.3,6.3,3.8,1.17,20.0,39.2,83
2006-12-17,7.1,-0.1,3.0,0.0,3.48,10.0,21.2,73
2006-12-18,5.3,1.2,3.2,0.9,2.31,12.8,25.2,86
2006-12-19,4.3,0.7,1.8,0.0,4.28,19.8,37.4,36
2006-12-20,4.8,-0.8,1.2,0.0,4.74,18.2,31.7,8
2006-12-21,6.8,0.1,3.1,0.0,2.68,18.2,33.8,41
2006-12-22,6.2,1.7,3.5,0.0,4.55,16.8,35.3,8
2006-12-23,4.1,-0.8,1.7,0.0,3.75,14.2,27.0,46
2006-12-24,2.6,0.3,1.4,0.0,1.48,8.2,16.9,97
2006-12-25,2.7,-0.1,1.3,0.0,1.67,10.0,19.1,99
2006-12-26,1.3,-0.1,0.6,0.0,1.89,8.9,16.2,100
2006-12-27,1.2,-0.4,0.2,0.0,2.16,9.4,20.5,99
2006-12-28,2.7,-1.5,-0.2,0.0,4.23,9.2,16.9,96
2006-12-29,5.7,-2.3,1.2,0.0,4.08,21.0,38.2,86
2006-12-30,11.4,3.9,7.8,5.9,1.21,38.9,77.0,90
2006-12-31,12.0,6.2,8.8,2.4,2.38,31.7,59.8,72
2007-01-01,12.5,5.9,9.4,10.6,4.56,35.7,76.3,71
2007-01-02,8.1,4.7,6.3,1.6,2.89,31.9,63.7,52
2007-01-03,8.5,3.8,6.2,0.0,2.78,23.3,43.6,83
2007-01-04,10.4,7.5,8.9,1.5,3.52,25.4,49.0,77
2007-01-05,11.2,7.7,9.2,1.1,2.89,20.8,42.1,93
2007-01-06,11.5,9.9,10.6,3.9,0.71,26.6,53.6,98
2007-01-07,9.5,6.4,8.1,0.0,2.22,24.4,44.6,97
2007-01-08,12.3,9.0,10.1,6.4,2.73,29.7,68.4,97
2007-01-09,13.1,10.4,12.0,0.5,2.49,27.1,55.1,87
2007-01-10,12.3,5.6,9.7,1.1,2.36,29.0,54.0,79
2007-01-11,11.5,4.3,7.5,1.7,2.9,36.2,74.5,81
2007-01-12,12.3,6.9,9.6,0.0,4.37,25.6,52.9,78
2007-01-13,11.6,10.0,10.8,0.0,1.57,21.6,40.0,100
2007-01-14,10.6,3.8,8.0,0.0,5.54,20.1,42.1,58
2007-01-15,9.7,3.0,5.9,0.0,3.97,12.9,24.5,87
2007-01-16,9.7,4.8,7.4,1.2,2.84,17.4,32.0,100
2007-01-17,12.2,8.8,10.5,6.3,1.65,35.2,77.0,99
2007-01-18,14.0,11.0,12.9,7.6,0.58,43.0,82.4,100
2007-01-19,14.5,12.4,13.4,0.9,1.57,33.8,67.7,100
2007-01-20,13.6,8.7,11.2,3.2,2.61,39.0,73.4,99
2007-01-21,9.4,4.6,7.0,0.2,5.76,26.8,51.5,48
2007-01-22,7.3,2.0,4.2,0.1,3.87,19.6,36.7,100
2007-01-23,3.9,-0.3,1.1,0.3,3.25,32.1,60.5,92
2007-01-24,3.4,-1.7,0.2,0.5,4.28,22.0,41.0,78
2007-01-25,1.5,-4.0,-1.8,0.0,5.61,22.9,45.0,43
2007-01-26,2.5,-5.4,-1.5,0.0,6.47,12.9,23.0,35
2007-01-27,7.7,0.2,3.2,0.0,5.52,11.4,26.6,66
2007-01-28,6.8,-0.5,3.2,0.0,3.51,18.5,39.2,64
2007-01-29,8.9,4.8,6.3,0.0,2.79,11.9,22.0,96
2007-01-30,8.6,5.4,6.8,0.0,2.98,11.8,24.5,97
2007-01-31,9.0,4.6,6.5,0.1,3.34,10.5,18.7,90
2007-02-01,11.0,4.0,7.7,0.0,2.21,10.1,19.1,99
2007-02-02,10.2,8.0,8.8,0.0,2.01,12.0,24.1,100
2007-02-03,8.5,4.2,6.4,0.0,7.45,21.8,43.6,45
2007-02-04,9.8,1.4,4.6,0.0,8.14,19.7,37.4,4
2007-02-05,6.7,1.7,4.5,0.2,2.36,11.2,23.0,82
2007-02-06,6.8,2.5,4.2,0.5,4.45,10.3,23.0,97
2007-02-07,3.2,0.6,1.5,3.6,2.81,16.6,31.7,97
2007-02-08,9.4,0.6,5.5,5.7,7.06,30.6,60.5,68
2007-02-09,8.9,2.5,5.3,1.4,5.31,16.1,33.1,85
2007-02-10,12.0,4.8,7.8,5.3,6.02,21.8,44.3,82
2007-02-11,12.5,7.6,9.8,7.9,7.14,39.2,98.3,84
2007-02-12,11.5,8.1,9.4,7.5,7.8,39.0,83.9,73
2007-02-13,10.4,7.0,8.3,0.1,6.8,26.8,54.7,88
2007-02-14,11.1,6.7,8.4,18.3,1.3,27.0,51.1,99
2007-02-15,10.2,0.1,5.3,0.0,10.48,17.6,38.2,45
2007-02-16,14.6,3.3,8.0,0.0,7.79,19.1,33.8,91
2007-02-17,15.8,6.8,10.1,0.0,9.18,15.4,31.0,81
2007-02-18,13.9,3.5,8.4,0.0,10.49,8.4,18.7,51
2007-02-19,11.4,4.4,7.6,0.0,4.87,13.3,31.7,91
2007-02-20,14.0,4.6,8.9,0.0,10.16,11.0,23.8,93
2007-02-21,12.0,6.4,9.1,1.2,7.25,17.7,40.3,79
2007-02-22,11.8,4.1,7.5,0.8,6.23,20.3,37.4,93
2007-02-23,12.1,6.9,8.9,0.7,7.19,22.7,50.8,58
2007-02-24,12.3,8.2,9.6,5.0,8.02,27.9,61.9,83
2007-02-25,10.0,6.2,8.1,6.2,6.91,27.9,64.8,84
2007-02-26,10.5,6.0,8.0,1.8,7.81,23.6,59.8,79
2007-02-27,11.7,5.1,7.8,3.2,2.16,27.3,51.1,98
2007-02-28,13.6,8.7,10.9,1.1,8.58,34.1,77.8,87
2007-03-01,11.6,8.0,10.0,4.9,8.05,38.4,85.0,89
2007-03-02,10.7,4.2,7.5,3.8,7.76,24.3,49.0,73
2007-03-03,12.8,8.1,10.4,2.2,9.65,30.4,70.9,76
2007-03-04,15.5,3.8,9.6,0.0,10.32,26.0,46.8,76
2007-03-05,13.1,7.2,10.2,1.3,10.39,30.2,60.5,71
2007-03-06,9.8,8.3,9.0,8.3,1.51,30.9,60.5,99
2007-03-07,11.2,5.8,8.5,0.2,10.57,27.5,46.8,74
2007-03-08,12.8,3.1,7.6,0.1,11.62,13.2,24.1,77
2007-03-09,9.5,4.4,6.7,3.9,5.01,27.6,51.5,73
2007-03-10,12.0,1.1,6.8,0.0,14.61,13.0,25.2,10
2007-03-11,13.5,1.9,7.6,0.0,14.12,8.4,16.9,7
2007-03-12,13.7,-0.2,7.3,0.0,15.45,10.0,13.7,0
2007-03-13,14.6,0.8,8.0,0.0,15.33,12.3,23.8,21
2007-03-14,14.1,4.2,9.1,0.0,14.33,13.9,27.7,18
2007-03-15,14.2,2.7,8.1,0.0,15.38,10.0,18.4,5
2007-03-16,11.5,1.0,6.7,0.0,10.55,11.6,24.5,61
2007-03-17,12.6,5.7,9.1,0.1,4.57,16.6,31.3,93
2007-03-18,9.3,4.8,7.9,3.4,3.88,29.4,60.1,79
2007-03-19,6.1,1.4,3.7,3.8,11.65,22.0,50.4,91
2007-03-20,7.8,-0.4,2.8,3.5,12.12,24.9,51.5,68
2007-03-21,7.9,0.7,3.7,1.6,13.0,29.7,55.8,54
2007-03-22,7.6,1.7,4.4,0.0,8.76,18.0,38.5,85
2007-03-23,7.3,0.3,3.9,2.4,6.22,21.7,41.4,65
2007-03-24,7.7,-0.0,4.3,3.6,5.6,25.7,46.4,77
2007-03-25,9.5,5.2,7.1,0.1,9.89,19.1,37.4,88
2007-03-26,14.7,2.7,8.3,0.0,18.1,11.2,24.8,16
2007-03-27,15.4,2.1,8.8,0.4,16.02,9.7,18.0,12
2007-03-28,16.6,4.8,10.0,1.1,17.11,9.8,18.7,42
2007-03-29,12.7,4.3,8.3,1.1,13.89,13.6,38.5,69
2007-03-30,7.2,2.7,4.6,3.9,8.11,13.5,20.5,94
2007-03-31,8.0,1.0,4.2,3.0,11.12,11.6,28.8,93
2007-04-01,15.2,3.5,9.2,0.0,18.92,19.9,38.2,60
2007-04-02,17.8,6.2,11.8,0.0,18.73,15.5,31.7,26
2007-04-03,13.4,6.0,9.5,0.0,20.37,26.8,52.2,26
2007-04-04,11.5,3.6,7.3,0.0,16.38,32.4,62.3,42
2007-04-05,14.4,2.2,8.3,0.0,21.36,16.5,33.1,10
2007-04-06,17.2,4.0,10.5,0.0,21.1,13.0,26.3,0
2007-04-07,14.6,5.1,9.7,0.0,20.3,20.9,39.6,32
